ID;Family;Sp;sp2;Locomotion;Perching performance;Climbing index;BodyMass-Value;LogBodyMass;Diet;Foraging;Migration;ForStrat-ground;ForStrat-understory;ForStrat-midhigh;ForStrat-canopy;Tmt shape
A8409;Grallariidae;Hylopezus paraensis;H. paraensis;hop;Low;NA;44,2;3,699324712;Invertebrates;GroundForaging;Sedentary;100;0;0;0;Square
ANA18;Furnariidae;Gyalophylax hellmayri;G. hellmayri;hop;Low;9,8;25,49;3,238286218;Invertebrates;ArborealGleaning;Sedentary;50;50;0;0;Square
ANA26;Thamnophilidae;Myrmorchilus strigilatus;M. strigilatus;walk;Low;NA;23;3,135494216;Invertebrates;GroundForaging;Sedentary;50;50;0;0;Square
FMNH_105658;Furnariidae;Furnarius rufus;F. rufus;walk;Low;3,2;46,42;3,837730401;Invertebrates;GroundForaging;Sedentary;70;30;0;0;Square
FMNH_335140;Melanopareiidae;Melanopareia bitorquata;M. bitorquata;hop;Low;2,8;NA;1,871802177;Invertebrates;ArborealGleaning;Sedentary;60;40;0;0;Square
FMNH_344009;Thamnophilidae;Euchrepomis spodioptila;E. spodioptila;hop;Medium ;NA;NA;2,442347035;Invertebrates;ArborealGleaning;Sedentary;0;0;70;30;Square
FMNH_B_314046;Furnariidae;Aphrastura spinicauda spinicauda;A. spinicauda;climb;High;57,4;NA;2,388762789;Invertebrates;ArborealGleaning;Sedentary;10;30;30;30;Triangle
FMNH_B_343607;Furnariidae;Sylviorthorhynchus desmursii;S. desmursii;hop;High;50,3;NA;2,787477335;Invertebrates;BarkGleaning;Sedentary;0;50;50;0;Triangle
KU_B_123228;Furnariidae;Roraimia adusta;R. adusta;climb;High;NA;23;3,135494216;Invertebrates;GroundForaging;Sedentary;0;60;40;0;Triangle
MT27;Thamnophilidae;Hypocnemoides maculicauda;H. maculicauda;hop;Low;NA;11,8;2,468099531;Invertebrates;ForagingGeneralist;Sedentary;40;40;20;0;Square
RBO049;Furnariidae;Philydor atricapillus;P. atricapillus;hop;High;13,3;22,2;3,100092289;Invertebrates;ArborealGleaning;Sedentary;0;33;33;33;Triangle
RBO1012;Furnariidae;Phacellodomus rufifrons;P. rufifrons;hop;Low;3,9;24,6;3,202746443;Invertebrates;GroundForaging;Sedentary;70;20;10;0;Square
RBO1013;Furnariidae;Phacellodomus rufifrons;P. rufifrons;hop;Low ;3,9;24,6;3,202746443;Invertebrates;GroundForaging;Sedentary;70;20;10;0;Square
RO19;Thamnophilidae;Willisornis poecilinotus;W. poecilinotus;hop;Medium ;NA;18,4;2,912350665;Invertebrates;AerialSallying;Sedentary;60;40;0;0;Square
RBO623;Dendrocolaptidae;Sittasomus griseicapillus;S. griseicapillus;climb;High;89,5;13,12;2,574137784;Invertebrates;BarkGleaning;Sedentary;0;0;50;50;Triangle
RBO803 ;Thamnophilidae;Myrmoderus loricatus;M. loricatus;walk;Low;NA;29,75;2,778819272;Invertebrates;ArborealGleaning;Sedentary;80;20;0;0;Square
RBO823;Conopophagidae;Conopophaga melanops;C. melanops;hop;Low;15,8;20,1;3,000719815;Invertebrates;AerialSallying;Sedentary;60;40;0;0;Triangle
RBO826;Dendrocolaptidae;Dendrocincla turdina;D. turdina;climb;High;79,2;39;3,663561646;Invertebrates;BarkGleaning;Sedentary;0;40;60;0;Triangle
RBO933;Dendrocolaptidae;Campylorhamphus falcularius;C. falcularius;climb;High;83,8;42,6;3,751854253;Invertebrates;BarkGleaning;Sedentary;0;50;50;0;Triangle
